4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2009-05-12,117.0,"Finance Bill, Question put, That the amendment to clause 7 be made. Sitting in committee",CD:2009-05-12:117,http://data.parliament.uk/resources/104359,,,
no,2009-05-12,118.0,"Finance Bill,Question put, That the amendment to clause 8 be made. Sitting in committee",CD:2009-05-12:118,http://data.parliament.uk/resources/104360,,,
no,2009-05-12,121.0,"Finance Bill, Question put, That the amendment to clause 11 be made. Sitting in committee",CD:2009-05-12:121,http://data.parliament.uk/resources/104363,,,
no,2009-05-11,115.0,"Equality Bill, Question put, That the amendment be made",CD:2009-05-11:115,http://data.parliament.uk/resources/104357,,,
no,2009-05-05,110.0,"Apprenticeships, Skills, Children and Learning Bill, Question put, That Gov new clause 15 and amendments 10 and 11 be read a Second time",CD:2009-05-05:110,http://data.parliament.uk/resources/104352,,,
no,2009-05-05,111.0,"Apprenticeships, Skills, Children and Learning Bill, Debate interrupted (Programme Order, 23 Feb). Deputy Speaker put forthwith the Question already proposed (Standing Order No. 83E), That the clause be read a Second time.",CD:2009-05-05:111,http://data.parliament.uk/resources/104353,,,
no,2009-05-05,112.0,"Apprenticeships, Skills, Children and Learning Bill, The Deputy Speaker then put forthwith the Questions necessary for the disposal of the business to be concluded at that time (Standing Order No. 83E)",CD:2009-05-05:112,http://data.parliament.uk/resources/104354,,,
no,2009-04-29,104.0,"Gurkha Settlement Rights, Question put (Standing Order No.31(2)), That the original words stand part of the Question",CD:2009-04-29:104,http://data.parliament.uk/resources/104346,,,
no,2009-04-01,95.0,"Rating and Valuation (S.I., 2009, No. 204)",CD:2009-04-01:95,http://data.parliament.uk/resources/104337,,,
no,2009-03-25,88.0,"Iraq War Inquiry, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-03-25:88,http://data.parliament.uk/resources/104330,,,
no,2009-03-25,90.0,"Business Rates and the Recession, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-03-25:90,http://data.parliament.uk/resources/104332,,,
no,2009-03-24,84.0,"Coroners and Justice Bill, 1hr elapsed since the commencement (Prog Order, 23 Mar). The Depty Spk put forthwith Standing Order No. 83E. Question put, That the amdt 1, in pg 34, line 5, leave out Clause 58 be made",CD:2009-03-24:84,http://data.parliament.uk/resources/104326,,,
no,2009-03-24,85.0,"Coroners and Justice Bill, Question put, That the amendment be made clause 104 and 108",CD:2009-03-24:85,http://data.parliament.uk/resources/104327,,,
no,2009-03-24,86.0,"Coroners and Justice Bill, Debate interrupted (Programme Order, 23 March). The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the clause be read a Second time",CD:2009-03-24:86,http://data.parliament.uk/resources/104328,,,
no,2009-03-23,83.0,"Coroners and Justice Bill, Question put, That the amendment be made clause 11",CD:2009-03-23:83,http://data.parliament.uk/resources/104325,,,
no,2009-03-17,74.0,"Welfare Reform Bill, Question put, That the clause be read a Second time",CD:2009-03-17:74,http://data.parliament.uk/resources/104316,,,
no,2009-03-17,75.0,"Welfare Reform Bill, Question put, That the amendment be made New clause 10",CD:2009-03-17:75,http://data.parliament.uk/resources/104317,,,
no,2009-03-17,76.0,"Welfare Reform Bill, Question put, That the amendment be made clause 2",CD:2009-03-17:76,http://data.parliament.uk/resources/104318,,,
no,2009-03-11,62.0,"Business Rate Supplements Bill, Question put, That the clause be read a Second time",CD:2009-03-11:62,http://data.parliament.uk/resources/104303,,,
no,2009-03-11,63.0,"Business Rate Supplements Bill, 3 hrs elapsed since commencement of proceedings, programme motion. Deputy Spk put forthwith the Q's already proposed (Standing Order No. 83E), That the amendt be made. Sitting in Committee",CD:2009-03-11:63,http://data.parliament.uk/resources/104304,,,
no,2009-03-11,64.0,"Business Rate Supplements Bill, Question put , That the amendment 16 be made",CD:2009-03-11:64,http://data.parliament.uk/resources/104305,,,
no,2009-03-11,65.0,"Criminal Law, Penalties for Disorderly Behaviour (Amount of Penalty) (Amendment) Order 2009 (S.I., 2009, No. 83), dated 22 January 2009, a copy of which was laid before this House on 23 January, be annulled",CD:2009-03-11:65,http://data.parliament.uk/resources/104306,,,
no,2009-03-04,53.0,"Northern Ireland Bill (Allocation of Time), Question put, That the amendment be made",CD:2009-03-04:53,http://data.parliament.uk/resources/104294,,,
no,2009-03-02,43.0,"Political Parties and Elections Bill, Question put, That the clause be read a Second time",CD:2009-03-02:43,http://data.parliament.uk/resources/104284,,,
no,2009-03-02,44.0,"Political Parties and Elections Bill, that amendments 94-99 and 121 be made",CD:2009-03-02:44,http://data.parliament.uk/resources/104285,,,
no,2009-03-02,45.0,"Political Parties and Elections Bill, addition of new clauses 22 and 23",CD:2009-03-02:45,http://data.parliament.uk/resources/104286,,,
no,2009-03-02,46.0,"Political Parties and Elections Bill, that amendment 140 be made",CD:2009-03-02:46,http://data.parliament.uk/resources/104287,,,
no,2009-03-02,47.0,"Political Parties and Elections Bill, that amendment 141 be made",CD:2009-03-02:47,http://data.parliament.uk/resources/104288,,,
no,2009-02-24,38.0,"Airport Expansion (Parliamentary Approval), Question put Motion for leave to introduce a Bill (Standing Order No. 23)",CD:2009-02-24:38,http://data.parliament.uk/resources/104279,,,
no,2009-02-24,39.0,"Airport Expansion (Parliamentary Approval), Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-24:39,http://data.parliament.uk/resources/104280,,,
no,2009-02-24,40.0,"British Agriculture and Food Labelling, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-24:40,http://data.parliament.uk/resources/104281,,,
no,2009-02-11,35.0,"Climate Change (Sectoral Targets), Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-11:35,http://data.parliament.uk/resources/104276,,,
no,2009-02-11,36.0,"Royal Mail, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-11:36,http://data.parliament.uk/resources/104277,,,
no,2009-02-09,31.0,"Political Parties and Elections Bill, Question put, That the amendment be made",CD:2009-02-09:31,http://data.parliament.uk/resources/104272,,,
no,2009-02-09,33.0,"Political Parties and Elections Bill, Question put, That the amendment be made",CD:2009-02-09:33,http://data.parliament.uk/resources/104274,,,
no,2009-02-03,29.0,"Skills and Further Education, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-03:29,http://data.parliament.uk/resources/104270,,,
no,2009-02-03,30.0,"Child Protection, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-02-03:30,http://data.parliament.uk/resources/104271,,,
no,2009-01-28,26.0,"Heathrow (Third Runway), Question put accordingly, (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-01-28:26,http://data.parliament.uk/resources/104267,,,
no,2009-01-21,18.0,"Emergency Care, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-01-21:18,http://data.parliament.uk/resources/104259,,,
no,2009-01-21,19.0,"Savers, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-01-21:19,http://data.parliament.uk/resources/104260,,,
no,2009-01-12,11.0,"Business Rate Supplements Bill, Question put, That the amendment be made",CD:2009-01-12:11,http://data.parliament.uk/resources/104252,,,
no,2008-12-17,9.0,"Value Added Tax, One and a half hours having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 16(1))",CD:2008-12-17:9,http://data.parliament.uk/resources/104250,,,
no,2008-12-15,5.0,"Economy, Pensions and Welfare, Question put, That the amendment be made",CD:2008-12-15:5,http://data.parliament.uk/resources/104246,,,
no,2008-12-15,6.0,"Economy, Pensions and Welfare,Question put forthwith (Standing Order No. 33), That the amendment be made",CD:2008-12-15:6,http://data.parliament.uk/resources/104247,,,
no,2008-12-08,1.0,"Speaker’s Committee on the Search of Offices on the Parliamentary Estate, Motion in the name of Ms Harriet Harman, Question put, That the amendment be made",CD:2008-12-08:1,http://data.parliament.uk/resources/104242,,,
no,2008-12-08,2.0,"Speaker’s Committee on the Search of Offices on the Parliamentary Estate, 3 hrs having elapsed since commencement of proceedings, Spk put Qs necessary to dispose of business to be concluded at that time (Order this day) Amd e",CD:2008-12-08:2,http://data.parliament.uk/resources/104243,,,
no,2008-11-26,340.0,"Banking Bill, Question put, That the clause be read a Second time (New Clause 11)",CD:2008-11-26:340,http://data.parliament.uk/resources/104240,,,
no,2008-11-26,341.0,"Banking Bill, Question put, That the amendment be made (Clauses 1, 60, 62-65, 67, 72, 119 and 154)",CD:2008-11-26:341,http://data.parliament.uk/resources/104241,,,
no,2008-11-25,338.0,"Pensions Bill, Question put, That the amendment to the Lords amendment 52 be made",CD:2008-11-25:338,http://data.parliament.uk/resources/104238,,,
no,2008-11-19,329.0,"Counter-Terrorism Bill, Question put, That the Lords amendment No 2 be made",CD:2008-11-19:329,http://data.parliament.uk/resources/104229,,,
no,2008-11-19,332.0,"Counter-Terrorism Bill, Question put, That the amendment be made",CD:2008-11-19:332,http://data.parliament.uk/resources/104232,,,
no,2008-11-18,326.0,"Energy Bill, Amendment proposed to the Lords amendment: (b), Question put, That the amendment to the Lords amendment be made",CD:2008-11-18:326,http://data.parliament.uk/resources/104226,,,
no,2008-11-18,327.0,"Energy Bill, Government amendment to Lords amendment: (g), Question put, That the amendment to the Lords amendment be made",CD:2008-11-18:327,http://data.parliament.uk/resources/104227,,,
no,2008-11-04,309.0,"Employment Bill (Lords), New Clause 2, Question put, That the clause be read a Second time",CD:2008-11-04:309,http://data.parliament.uk/resources/104209,,,
