515,date,division number,title,uin,uri
no,2009-05-13,123.0,"Equality Bill, That if, at the conclusion of this Session of Parliament, proceedings on the Equality Bill have not been completed, they shall be resumed in the next Session (Carry over))",CD:2009-05-13:123,http://data.parliament.uk/resources/104365
no,2009-05-11,116.0,"Equality Bill, (Programme), Motion made, and Question put forthwith, (Standing Order No. 83A(7))",CD:2009-05-11:116,http://data.parliament.uk/resources/104358
no,2009-05-08,114.0,"Question put forthwith, pursuant to Standing Order No. 163 (motions to sit in private)",CD:2009-05-08:114,http://data.parliament.uk/resources/104356
no,2009-03-25,89.0,"Iraq War Inquiry, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2009-03-25:89,http://data.parliament.uk/resources/104331
no,2009-03-23,82.0,"Coroners and Justice Bill (Programme) (No. 3), Question put on programme",CD:2009-03-23:82,http://data.parliament.uk/resources/104324
no,2009-03-18,79.0,"The Economy, Question put forthwith (Standing Order 31(2)), That the proposed words be there added",CD:2009-03-18:79,http://data.parliament.uk/resources/104321
no,2009-03-17,74.0,"Welfare Reform Bill, Question put, That the clause be read a Second time",CD:2009-03-17:74,http://data.parliament.uk/resources/104316
no,2009-03-17,75.0,"Welfare Reform Bill, Question put, That the amendment be made New clause 10",CD:2009-03-17:75,http://data.parliament.uk/resources/104317
no,2009-03-04,54.0,"Northern Ireland Bill, Amendment proposed: 2 , in page 8, line 22, at end insert. Sitting in committee",CD:2009-03-04:54,http://data.parliament.uk/resources/104295
no,2009-03-03,50.0,"Business of the House, Question put on Motions A (membership of Regional Select Committees) and B (Green Book (Committee on Members’ Allowances), Liaison Committee (Membership) and Pay for Chairmen of Select Committees)",CD:2009-03-03:50,http://data.parliament.uk/resources/104291
no,2009-03-03,51.0,"Regional Select Committees (Membership), One and a half hours having elapsed since the commencement of proceedings on the Business of the House motion, the Deputy Speaker put the Question (Order, this day)",CD:2009-03-03:51,http://data.parliament.uk/resources/104292
no,2009-02-11,37.0,"Royal Mail, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2009-02-11:37,http://data.parliament.uk/resources/104278
no,2009-01-28,25.0,"Section 5 of the European Communities (Amt) act 1993, That this House takes note with approval of the Government’s assessment as set out in the Pre-Budget Report 2008 for the purposes of Section 5 of the Act",CD:2009-01-28:25,http://data.parliament.uk/resources/104266
no,2009-01-21,17.0,"NORTHERN IRELAND) (21 Jan 2009) That the draft Northern Ireland Assembly (Elections) (Amendment) Order 2009, which was laid before this House on 3 December, be approved.",CD:2009-01-21:17,http://data.parliament.uk/resources/104258
no,2009-01-21,20.0,"Savers,Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2009-01-21:20,http://data.parliament.uk/resources/104261
no,2009-01-20,14.0,"Financial Crisis, EU No. 14938/08 and  No. 16097/08, One and a half hours having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 16)",CD:2009-01-20:14,http://data.parliament.uk/resources/104255
no,2009-01-20,15.0,"Financial Management, Question put",CD:2009-01-20:15,http://data.parliament.uk/resources/104256
no,2009-01-20,16.0,"EU-Russia Relations, European Union Documents No. 15299/08, Commission Communication Review of EU-Russia Relations and No. 15300/08",CD:2009-01-20:16,http://data.parliament.uk/resources/104257
no,2009-01-13,13.0,"Saving Gateway Accounts Bill (programme), Motion made, and Question put forthwith (Standing Order No. 83A(7))",CD:2009-01-13:13,http://data.parliament.uk/resources/104254
no,2008-12-17,8.0,"Adjournment (Christmas) That this House, at its rising on Thursday 18 December, do adjourn till Monday 12 January 2009",CD:2008-12-17:8,http://data.parliament.uk/resources/104249
no,2008-12-15,7.0,"Economy, Pensions and Welfare, Main Question put",CD:2008-12-15:7,http://data.parliament.uk/resources/104248
no,2008-12-08,3.0,"Speaker’s Committee on the Search of Offices on the Parliamentary Estate, Main Question put",CD:2008-12-08:3,http://data.parliament.uk/resources/104244
no,2008-11-26,339.0,"Pre-Budget Report, Question put, That the Question be now put That this House has considered the matter of the Pre-Budget Report",CD:2008-11-26:339,http://data.parliament.uk/resources/104239
no,2008-11-25,336.0,"European Documents, Motion made, and Question put forthwith, pursuant to Standing Order No. 119(11) (European Committees), Defence and Security Procurement That this House takes note of European Union Document No 16488/07",CD:2008-11-25:336,http://data.parliament.uk/resources/104236
no,2008-11-25,337.0,"PENSIONS BILL (PROGRAMME) (NO. 2) Motion made, and Question put forthwith, pursuant to Standing Order No. 83A (Programme motions)",CD:2008-11-25:337,http://data.parliament.uk/resources/104237
